ED9000 XRF X-Ray Spectrometer Treated Wood Analyzer CCA ACZA AZQ IPBC BROMINE, 3 862 $, New,  USA
Analytical Balance (220g x 0.1mg): Mettler Toledo AG204 Price reduced, 45 000 $, Refurbished,  USA
STAGO Satellite Coagulation Analyzer, 13 250 $, Used,  USA
DYNEX TECHNOLOGIES Agility Microplate Reader, 7 845 $, Used,  Netherlands
ABBOTT LABS ARCHITECT ci4100 Biochemical Analyzer, 1 500 $, New,  Netherlands
BIOMERIEUX Mini Vidas Mini Vidas BLUE, 999 $, Used,  France
Thermo Fisher Scientific Savant SC250EXP SpeedVac Concentrator (800-2454), 18 708 $,  France, 2009
SIEMENS RAPIDPoint 500 Blood Gas Analyzer, 92 $, 2016, Used
ROCHE Cobas C311 Biochemical Analyzer, 724 $, Used,  France
OLYMPUS MICROSCOPE CAMERA ADAPTER U-CMT IX-TVAD, 1 086 $,  USA, 2008
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  USA, New
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $,  France, Used
SYSMEX XT-2000i Hematology Analyzer, 3 500 $,  USA, Refurbished
SYSMEX XN-1000 Hematology Analyzer, 1 207 $, 2016, Used
SYSMEX XE 2100 D Hematology Analyzer, 406 $, Refurbished,  Turkey
THERMO KONELAB Konelab 20i Chemistry Analyzer, 3 741 $,  France, 2013
Olympus U-SVRB-4; Right Hand Mechanical Stage for BX Series Microscopes, 263 $,  USA, Refurbished
SYSMEX CA 560 Coagulation Analyzer, 1 895 $,  USA, Used
Olympus SWH10X-H 10x/26.5 Superwide Eyepiece, 1 000 $,  France, Used
Used Drew Scientific Ds5 Hematology Analyzers, 15 000 $,  USA, Refurbished
Used Roche Diagnostics Cobas Integra 800 Hematology Analyzers, 200 $,  Netherlands, Used
Used Perkin Elmer Clarus 500 GC Gas Chromatograph System Dual FID Detectors, 850 $,  Netherlands, Used
G146977 Dupont Sorvall MC12 Mini Centrifuge w/F12/M.18 Autoclavable Rotor, 1 800 $,  France, New
"Frigitronics Microscope, Medical, Healthcare, Laboratory, Lab Equipment", 724 $, 2009, Used
LEICA HCX APO L 63X / 0.90 WATER IMMERSION LONG WORKING DISTANCE OBJECTIVE. INFINITY CORRECTED. CATA, 1 086 $, Used,  France
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  France, 2016
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, 2008, Used
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, Used,  France
SYSMEX XN-1000 Hematology Analyzer, 1 600 $, Used,  USA
SYSMEX XE 2100 D Hematology Analyzer, 85 $, Refurbished,  France
Used BROOKFIELD DIGITAL VISCOMETER MODEL DV-II / LVTDVCP-II, 2 300 $, New,  USA
Shandon Cytospin 2 Centrifuge 59900102 - No Rotor- Parts (C), 15 087 $, Used,  USA
Thermo Kendro Herasafe HS12 4ft Biosafety Cabinet, 30 114 $, Used,  USA
ABBOTT LABS ARCHITECT c4000 Biochemical Analyzer, 11 980 $, Used,  USA
AGILENT HP 7694 G1289 Gas Chromatograph, 85 $, For Parts,  USA
"Thermo Nanodrop One Microvolume UV-Vis Spectrophotometer, in original Box", 40 $, Used,  USA
50 ml Centrifuge Tubes SARSTEDT SEALED STERILE Case 200 Styrofoam Racked, 500 $, New,  USA
UNGARMATIC SOLDERING IRON POWER SUPPLY #70B, 1 450 $, Used,  Netherlands
MITSUBISHI CHEMICAL CORP GT-100 AUTOMATIC TITRATOR (BB), 724 $, New,  Netherlands
Used Thermo Fisher Scientific 334610 Refractometers, 1 086 $, Used,  France
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  France, 2009
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, 2016, Used
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, Used,  France
SYSMEX XN-1000 Hematology Analyzer, 135 000 $,  USA, 2008
SYSMEX XE 2100 D Hematology Analyzer, 1 000 $,  USA, Used
HI-FLO FX2 20L CO2 EXTRACTOR, 1 250 $,  USA, For Parts
"C142562 Heraeus Votsch VMT 04/16 Environmental Chamber (110VAC, -40C to +130C)", 1 750 $,  Turkey, Used
T162195 Varian Turbo-V 301 Navigator Turbo Vacuum Pump TV301 NAV 9698918M002, 25 $, 2017, Refurbished
Leitz NPL Fluotar 63x/0.90na with Correction Collar objective, 550 $, Refurbished,  Netherlands
Dupont Suprel LS Coverall White XL Pk/25 SR181SWHXL002500, 95 $,  USA, 2011
Used Waters RMA Reagent Manager HPLC Pumps, 399 $,  USA, New
Sanyo Mini Refrigerator SR4991X, 40 $,  USA, New
Economical Vacuum Pump, 1 995 $,  USA, For Parts
American Optical Microscope Spencer Sixty With 10X And 43X Objectives, 724 $,  USA, Used
Zeiss Axioskop 40 Microscope for Brightfield, 1 086 $,  Netherlands, Used
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  Netherlands, Used
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $,  France, New
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, 2009, Used
SYSMEX XN-1000 Hematology Analyzer, 350 $, Used,  France
SYSMEX XE 2100 D Hematology Analyzer, 9 000 $,  France, 2016
HERAEUS Megafuge 1.0 Centrifuge, 2 995 $, 2008, Used
Leica ASP 6025 ASP6025 Tissue Processor, 15 000 $, Refurbished,  USA
Used Qiagen QIAcube Automated DNA/RNA Purification System Unit2, 700 $, For Parts,  USA
Used Oxford Instruments Lab-X3500 Sulfur Chlorine analyzer XRF X ray oil ASTM D4294, 3 950 $, For Parts,  USA
Thermo 1447L High Performance Laboratory Refrigerator, 407 $, New,  USA
Vankel Varian VK 100 3 position Automated Disintegration Tester, 17 000 $, New,  USA
THELCO PRECISION MECHANICAL INCUBATOR 3DM AMB +5C - 70C 51221120 LABORATORY, 15 000 $, Used,  USA
Oxford Compact Eco XRF Analyzer X-RAY THICKNESS PLATING GAUGE bath Refurbed, 1 207 $, Used,  USA
Leica Upright Light Microscope with Fluorescence Module, 724 $, New,  USA
SYSMEX SF-3000 Hematology Analyzer, 1 086 $, Used,  USA
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $, Used,  USA
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, Used,  Netherlands
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, New,  Netherlands
SYSMEX XN-1000 Hematology Analyzer, 1 736 $, Used,  France
SYSMEX XE 2100 D Hematology Analyzer, 225 $,  France, 2009
ORTHO BIOVUE SYSTEM Laboratory Сentrifuge, 120 $, 2016, Used
OLYMPUS NFK 2.5X PHOTO EYEPIECE, 6 400 $, Used,  France
JOHNSON & JOHNSON ORTHO CLINICAL DIAGNOSTICS VITROS DT60 II (KN), 600 $,  Germany, 2008
Watson Marlow 630BpN/RE4 Peristaltic Pump in LIKE NEW Condition, 215 000 $,  USA, Used Very Good
VWR Scientific Aquasonic 150D Ultrasonic Cleaner, 3 000 $,  USA, Used
BRUKER CORPORATION Microflex LT Mass Spectrometer, 1 799 $,  USA, Used
G157087 Bioreactor Process Tank Assembly w/ Alfa-Laval VE-J32 Metering Pump Skid, 12 000 $,  USA, Used
Used TECAN F200 INFINITi Plate Reader Year 2009, 2 860 $,  USA, Used
Diener Femto PCCE plasma system + vacuum pump (new), 724 $,  USA, Used
EKF DIAGNOSTIC GMBH Biosen C-Line Clinic Hematology Analyzer, 1 086 $,  USA, Used
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  USA, Used
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $,  Portugal, Used
SYSMEX XT-2000i Hematology Analyzer, 3 500 $,  Netherlands, Used
SYSMEX XN-1000 Hematology Analyzer, 5 431 $,  Netherlands, Used
SYSMEX XE 2100 D Hematology Analyzer, 12 500 $,  France, New
ROCHE TAQMAN 48 Thermal Cycler, 7 998 $, 2009, Used
Used Thermo Nicolet Avatar 380 FTIR with Smart Orbit Diamond ATR, 600 $, Used,  France
Labconco 6 Foot Fume Hood - Protector Premier, 200 $,  France, 2016
Zeiss 467065-9912 Microscope (4 Objectives), 200 $, 2008, Used
Used DiGene 6000-1110-U Hybrid Capture System Microplate Heater, 430 $, Used,  United Kingdom
Used Biomerieux Labguard 2 Transmitter MD5075 & Kimo TH 110, 9 500 $, New,  Ukraine
Used ELECTRO TECH SYSTEMS ETS STATIC DECAY METER MODEL 406C, 87 $, For Parts,  USA
Agilent Technologies 1260 Infinity II G7104C Flexible Pump HPLC Pumps, 35 $, Used,  USA
Bosch 0 810 091 227 Directional Control Valve 0-810-091-227, 724 $, Used,  USA
Tyler Certified Sieve USA 170 8 All Stainless Steel Full Height, 1 086 $, Refurbished,  USA
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $, For Parts,  USA
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, Used,  USA
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, New,  USA
