equipment,cost,condition,country
Used Roche Diagnostics Cobas Integra 800 Hematology Analyzers,200,Used,Netherlands
Used Perkin Elmer Clarus 500 GC Gas Chromatograph System Dual FID Detectors,850,Used,Netherlands
G146977 Dupont Sorvall MC12 Mini Centrifuge w/F12/M.18 Autoclavable Rotor,1800,New,France
"Frigitronics Microscope, Medical, Healthcare, Laboratory, Lab Equipment",724,Used,
LEICA HCX APO L 63X / 0.90 WATER IMMERSION LONG WORKING DISTANCE OBJECTIVE. INFINITY CORRECTED. CATA,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,3621,,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,
SYSMEX XT-2000i Hematology Analyzer,3500,Used,France
SYSMEX XN-1000 Hematology Analyzer,1600,Used,USA
SYSMEX XE 2100 D Hematology Analyzer,85,Refurbished,France
Used BROOKFIELD DIGITAL VISCOMETER MODEL DV-II / LVTDVCP-II,2300,New,USA
Shandon Cytospin 2 Centrifuge 59900102 - No Rotor- Parts (C),15087,Used,USA
Thermo Kendro Herasafe HS12 4ft Biosafety Cabinet,30114,Used,USA
ABBOTT LABS ARCHITECT c4000 Biochemical Analyzer,11980,Used,USA
AGILENT HP 7694 G1289 Gas Chromatograph,85,For Parts,USA
"Thermo Nanodrop One Microvolume UV-Vis Spectrophotometer, in original Box",40,Used,USA
50 ml Centrifuge Tubes SARSTEDT SEALED STERILE Case 200 Styrofoam Racked,500,New,USA
UNGARMATIC SOLDERING IRON POWER SUPPLY #70B,1450,Used,Netherlands
MITSUBISHI CHEMICAL CORP GT-100 AUTOMATIC TITRATOR (BB),724,New,Netherlands
Used Thermo Fisher Scientific 334610 Refractometers,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,3621,,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,
SYSMEX XT-2000i Hematology Analyzer,3500,Used,France
SYSMEX XN-1000 Hematology Analyzer,135000,,USA
SYSMEX XE 2100 D Hematology Analyzer,1000,Used,USA
HI-FLO FX2 20L CO2 EXTRACTOR,1250,For Parts,USA
"C142562 Heraeus Votsch VMT 04/16 Environmental Chamber (110VAC, -40C to +130C)",1750,Used,Turkey
T162195 Varian Turbo-V 301 Navigator Turbo Vacuum Pump TV301 NAV 9698918M002,25,Refurbished,
Leitz NPL Fluotar 63x/0.90na with Correction Collar objective,550,Refurbished,Netherlands
Dupont Suprel LS Coverall White XL Pk/25 SR181SWHXL002500,95,,USA
Used Waters RMA Reagent Manager HPLC Pumps,399,New,USA
Sanyo Mini Refrigerator SR4991X,40,New,USA
Economical Vacuum Pump,1995,For Parts,USA
American Optical Microscope Spencer Sixty With 10X And 43X Objectives,724,Used,USA
Zeiss Axioskop 40 Microscope for Brightfield,1086,Used,Netherlands
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,Netherlands
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,New,France
SYSMEX XT-2000i Hematology Analyzer,3500,Used,
SYSMEX XN-1000 Hematology Analyzer,350,Used,France
SYSMEX XE 2100 D Hematology Analyzer,9000,,France
HERAEUS Megafuge 1.0 Centrifuge,2995,Used,
Leica ASP 6025 ASP6025 Tissue Processor,15000,Refurbished,USA
Used Qiagen QIAcube Automated DNA/RNA Purification System Unit2,700,For Parts,USA
Used Oxford Instruments Lab-X3500 Sulfur Chlorine analyzer XRF X ray oil ASTM D4294,3950,For Parts,USA
Thermo 1447L High Performance Laboratory Refrigerator,407,New,USA
Vankel Varian VK 100 3 position Automated Disintegration Tester,17000,New,USA
THELCO PRECISION MECHANICAL INCUBATOR 3DM AMB +5C - 70C 51221120 LABORATORY,15000,Used,USA
