equipment,cost,condition,country
"Refurbished Agilent Technologies Agilent 6420 Triple Quad with 1260 LC/MS/MS, 12-Month Warranty Mass Spectrometer",1086,New,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,New,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,For Parts,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,160,Refurbished,USA
HORIBA Pentra DF Nexus Hematology Analyzer,19900,Used,USA
Used S&A CMFL2-30-A-W-G-DABE HPLC Pumps,5400,Refurbished,USA
Used Thermo Scientific LCQ Fleet Ion Trap LC/MS System,120,Used,USA
IKA HS 501 Digital 0-300 rpm Low Profile Laboratory Orbital Shaker.,1125,Used,USA
SHMINADZU TCC-CONTROLLER TEMPERATURE CONTROL UNIT MODEL TCC-240A,1800,Used,Netherlands
USB 3.0 Multipin Feedthrough KF40 Flange Mount,790,New,Netherlands
Watson Marlow 624U Peristaltic Pump,900,Used,France
Watson Marlow Sci Q 400 Peristaltic Pump,600,Used,France
Ismatec ISM829 Reglo Analog Peristaltic Pump,5295,Used,France
Used Lab Line Instruments Imperial V Ovens,724,Used,USA
The Baker Company 8 EdgeGARD Laminar Flow Clean Bench Hood EG-8252,1086,For Parts,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Refurbished,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1995,Used,United Arab Emirates
HORIBA Pentra DF Nexus Hematology Analyzer,7000,,Netherlands
Kendro Laboratory Products Double Door Chromatography Refrigerator FC445A 20,1999,Refurbished,
10476 Parker E100-6501 n2 gas generator,18500,New,Spain
Hydrogen Generator Model H2-500 Parker-Balston,400,,USA
Thermo Scientific Sorvall Contifuge Stratos Refrigerated Centrifuge with Continuous Flow Titanium Rotor 3049,364,New,USA
Leitz Dialux 20 Fluorescence Microscope,10500,For Parts,Netherlands
Zeiss Plan-ACHROMAT 40x/0.65na Primostar Objective,1680,Used,Netherlands
Olympus BHS BF Transmitted/Reflected Light Microscope with Polarized and DIC Light,5431,New,France
AmScope 20MP Temperature-regulated CMOS Microscope Camera,1810,Used,France
THERMO SCIENTIFIC Aquamate Spectrophotometer,724,Used,France
BECKMAN COULTER DXC800 Chemistry Analyzer,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,New,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,8690,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,950,Used,USA
HITACHI 902 Chemistry Analyzer,900,Used,USA
Used Labsystems Nepheloskan Ascent Microplate Reader with Computer,2500,Used,USA
Used BioTek PowerWave X 340 Microplate Reader,170,New,USA
Carl Zeiss Visante OCT 1000,400,For Parts,USA
Used Bio-Rad Criterion Vertical Gel Electrophoresis Cell 135BR,19809,Refurbished,Netherlands
Used ^^ BROOKFIELD RHEOSET VISCOMETER MODEL LVRH (BB),2750,Used,Netherlands
MCP 500 Modular Circular Polarimeter (Demo Unit),29000,New,France
"Cleatech, P611, Airy Technology P611, Handheld Particle Counter",39,Used,France
Used Agilent Technologies 6890/5973/7683 Mass Spectrometer,724,Used,France
"Used Agilent-VarianAutosampler syringe 10ul ,cod 03-918986-00",1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,25700,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,63,New,USA
Refurbished Shimadzu Prominence Series FPLC Systems,900,Used,USA
Colorimeter (CW2010),900,Used,USA
Mettler Toledo PR 5002 Delta Range Balance,261,Used,USA
Used IKA Eurostar Power-B Stirrers,360,Refurbished,USA
ALPHA-M MODEL AV-50 VIBRATOR SHAKER LABORATORY,2395,Used,Netherlands
MILLIPORE WATER PURIFICATION SYSTEM TANK 30 LITER PE TANKPE030 FOR MILLI-Q DIREC,3000,Used,Netherlands
EV311 Rotary Evaporator with Motorized Lift and Glassware,250,New,France
10863 MEMMERT ICP 600 COMPRESSOR - COOLED INCUBATOR I.D.18,795,Used,France
"Elconap AH-2 Heat Control Apparatus, Medical, Laboratory Incubator, Lab",724,Used,France
Taylor Wharton Cryogenic Shipper with Cryopuck carrier and 5 cryo pucks included CX-100B-11M,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,New,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,550,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,2500,Used,USA
Lauda Heating Circulator Water Bath MS 3 Liter w WARRANTY,200,New,USA
Vacuubrand PC2001 Pump with CVC 2000 II Controller,1075,New,USA
Reichert Microstar IV Microscope,1009,New,Portugal
"Olympus SZ4045 Stereozoom, 6.7x to 40x Magnification Range",11466,Used,France
Welch Cold Trap 1420H-14,7845,Used,Netherlands
SIEMENS Immulite 1000,590,Used,Netherlands
SYSMEX XT- 2000 i Hematology Analyzer,72,New,France
"Azzota SV-1000, 6nm Visible Spectrophotometer, Wavelength Range: 350-1000 nm",500,Used,France
Olympus U25-LBD;Daylight Blue Filter Slider,724,Used,France
Fisher Scientific Tissuemiser (800-2807),1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Refurbished,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,2800,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,3299,Refurbished,USA
Used Siemens Versacell Chemistry Analyzer (Clinical Diagnostics),3499,Used,USA
Used Applied Biosystems C1000 TOUCH PCR/Thermal Cycler,1250,New,USA
BioRad iCycler Multi-Color Real-Time PCR Optical System- New kPCR Testing,130,New,USA
Qiagen BioRobot M48 (203-3129),150,Used,USA
Sheen Automatic Scratch Tester 705,150,Used,Netherlands
"Reservoir Septa for ABI3100, 3130",1125,Used,Netherlands
Used Sentron pH Meter 1001,1750,New,France
Used Spectrophotometer BIOCHROME Libra S22,3900,Used,France
"Used UV/Vis Spectrophotometer: Beckman DU-520 Price reduced to $1,750",724,Used,France
Refurbished NanoDrop ND-1000 Spectrophotometer,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Refurbished,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1500,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,4500,Used,USA
T158876 Nicolet Magna-IR 560 Spectrometer w/ Spectra-Tech Inspect IR 912A0368,11900,Used,USA
Nicolet 950 FT-Raman Spectrometer,42500,New,USA
Used Thermo Scientific™ Dionex™ ICS-2100,375,Used,USA
"Refurbished Agilent 1260 infinity HPLC, G1311B G1316B, G4208B etc",4500,Used,USA
Scout SPX622 Cambridge Scientific ID№: 20342 HPLC Accessories,5380,New,Netherlands
Used Varian CP-3800 Gas Chromatograph with (1) FID & (1) Splitless (SSL) Capillary inlet,12500,Used,Netherlands
Refurbished Bruker scion 456 GC with Dual detectors (TCD and ECD),15700,New,France
"Refurbished Varian CP 3800 GC with TSD & ECD, CP 8400 Sampler",5276,Used,France
Refurbished Cannabis Residual Solvents Analysis with GC Headspace,724,Used,France
New Ametek WDG-IV Thermox Flue Gas Analyzer,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Refurbished,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,125,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,2900,New,France
Thermo Scientific Orion 3 Star (800-1132),2100,Refurbished,France
Mettler Toledo XA105DU Dual-Range Analytical Balance,2950,Refurbished,USA
Mettler-Toledo AT400 Analytical Balance Scale 400.0000g,25,New,USA
"Mettler AT261 DeltaRange Analytical Balance, Excellent Condition,90 Day Warranty",22,Used,USA
MAC Valve BVP221A Bullet Valve 2-Way with Manifold BVP221A-CB0-00-BAX0-CTA,100,Used,Netherlands
"Precision Dynamics Valve D2019, 23 VDC 10 Watts 10 MOPD",50,Used,Netherlands
T155117 New Brunswick Gyrotory Shaker Model G2 M1001-0000 Platform Shaker,8000,New,France
Mettler PC 4400 Delta Range Scale Balance,3500,Used,France
G154343 Mitsubishi MELFA RV-1A-S11 Industrial Robot w/CR1-571-S11-E Controller,724,Used,France
Watson Marlow 520DUN/L Peristaltic Pump with 505L Pumphead,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,2495,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,33,For Parts,USA
8FT JMP BENCH TOP FUME HOOD,6636,New,USA
Extra Shelf 10.5 x 8,250,Used,USA
BLUE M HUMIDITY CHAMBER OVEN TEMP RANGE -73C - +190C RH RANGE 10% TO 98%,638,Used,USA
Emerson M100EX Vacuum Pump,200,Used,USA
MSE MISTRAL 2000 LABORATORY CENTRIFUGE,4950,Refurbished,Netherlands
VWR Scientific Galaxy Mini Centrifuge Cat No. 1413-115,100,Used,Netherlands
~ Wescor Cytopro 7620 Cytocentrifuge,300,New,France
CARDINAL HEALTH PLASMA PREP 12 CENTRIFUGE WITH ROTOR,450,Used,France
Microscope Optic Bausch&Lomb,724,Used,France
LW SCIENTIFIC I4 INFINITY MICROSCOPE,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,For Parts,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,For Parts,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,7900,Refurbished,USA
HORIBA Pentra DF Nexus Hematology Analyzer,905,New,USA
Nikon Optiphot 2 POL Polarizing Transmitted Light Microscope,2950,Used,USA
BIOMERIEUX OPTION 4 PLUS Coagulation Analyzer,30,Refurbished,USA
SIEMENS BCS XP Coagulation Analyzer,3379,Refurbished,USA
QUINTON Quik-Prep Dx Other Lab Equipment,490,Refurbished,USA
CHART MVE 511 Nitrogen Generator,833,New,Netherlands
"Azzota SV800 Education Vis Spectrophotometer Wavelength Range:330-1000nm, 6nm",56,Used,Netherlands
DIAMED ID 24S Laboratory Сentrifuge,50,New,France
^^ SOMACA CHICAGO 5407 SUCTION CUP GRIPPER/HANDLE - GLASS MOVER,900,Used,France
100cc Glass Syringe w/ Metal Luer Tip Reusable Jumbo Eisele & Co,724,Used,France
Olympus BH2-UCD Universal Condenser with Open Slots,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1350,Refurbished,USA
HORIBA Pentra DF Nexus Hematology Analyzer,699,Used,USA
Tucsen MIchrome 5 Pro 5MP Color USB3 Smart Camera,1500,Used,USA
AUTOMATIC Z-STACKING KIT FOR RETROFIT TO YOUR MICROSCOPE-RetroZED MADE IN USA,575,For Parts,USA
"OLYMPUS U-DA DRAWING TUBE FOR THE BX SERIES MICROSCOPES, AKA CAMERA LUCIDA",2250,For Parts,USA
NIKON P-CL QUARTER WAVE & FULL WAVE TINT PLATE,200,For Parts,USA
Used 9780 ALINE STS-7D PLASTIC TUBE SEALER HEAT SEALER,1000,Used,Netherlands
Used Waters Alliance Strain Gauge Pressure Transducer 270172,98,Used,Netherlands
Used Pluggo Clinicon 96004450 Decapper,150,New,France
Edwards Vacustat Head Model 1 D063-01-001,200,Used,France
Used Bio-Rad Mini Sub Cell GT (203-5629),724,Used,France
Used Heat Systems Sonicator XL2010 Ultrasonic Power Supply,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,New,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,14988,Refurbished,USA
HORIBA Pentra DF Nexus Hematology Analyzer,25000,Used,USA
SVM™ 2001 Stabinger Viscometer™ (Demo Unit),5500,Used,USA
Used X-RAY SPECTROMETER SPECTRO XLAB 2000 XRF Analyzer light element mining ore edxrf,795,Used,USA
"Used Dionex DX-120 Ion Chromatograph, A/sampler, PC, Peaknet PLUG&play [2 TWIN UNITS]",64500,For Parts,USA
Seiko MA-50-10 Moisture Analyzers,3900,Used,USA
Used Agilent Technologies 1200 HPLC / 6410 / G1159A Mass Spectrometer,39995,Used,Netherlands
Used Agilent Technologies 1100 / G1312A HPLC Pumps,2250,Used,Netherlands
Used Agilent 1260 Infinity HPLC System,86,New,France
AKTA Amersham Pharmacia GE A900 Autosampler,120,Used,France
Used MSA7210LPassport FiveStar Personal Alarm w/Accessories & Case (NO CHARGER),724,Used,France
Ross L-o-x Energy Isolation Devices. Lot Of 2! No Reserve!,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,New,Portugal
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,Germany
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,
HORIBA ABX Pentra DX Nexus Hematology Analyzer,125,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,2171,Used,Germany
IKA Works MS1 S1 Minishaker (203-4325),221,New,USA
LING DYNAMIC SYSTEMS LDS V730 T VIBRATION TEST EM SHAKER LABORATORY,150,Used,United Kingdom
Lab-Line Mistral Multi-Mixer 4600 Vortex Shaker,850,,USA
Siemens ZIC4A ZIC-4A ZONE NAC Card 500-033050,1600,Used,USA
Thermo Scientific Hamilton Flammable Liquid Storage Cabinet 950S8401,2450,Used,USA
Torrey Hills- Tech Lab Thick Film Slow Roller,3690,Used,Netherlands
~ Fluke Model 481 Ion Chamber / Survey Meter,1000,Used,Netherlands
Watson Marlow 620UN/RE Peristaltic Pump,225,New,France
G149386 Barker Engineering Horizontal PM Milling Machine w/ Cabinet,724,Used,France
Barnstead Thermolyne Nuova SP18425 Magnetic Lab Hotplate/Stirrer,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,New,Ukraine
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,Ukraine
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1500,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,300,New,USA
Puffer Hubbard Lab Refrigerator Model: LR450A20,650,Used,USA
G150242 Shel Lab VWR 1520 Laboratory Incubator w/2 Movable Shelves,1299,Used,USA
Cryenco 400 (800-3170),650,Used,USA
Pharmacia Biotech MultiTemp 3 Chiller Heated Circulator -10 to +90C Cools Fast,30250,New,USA
Leybold Trivac D10 E Vacuum Pump,638,Refurbished,USA
Beckman Olympus AU 640 Chemistry Analyzer,395,Refurbished,Netherlands
JKH WECK SURGICAL OPERATING MICROSCOPE 111-537,600,Used,Netherlands
LW Scientific I4 Microscope Lab Medical Binocular,1191,New,France
Microscope Optic Olympus BH-2,724,Used,France
Nikon SMZ-745 Binocular Zoom Body MMA36400,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,New,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,3330,Refurbished,USA
HORIBA Pentra DF Nexus Hematology Analyzer,12396,New,USA
Leica S9 D with Camera Port on Dual Arm Ball Bearing Boom Stand,6000,Used,USA
Leica MZ FL III Fluorescence Stereo Microscope,3017,Used,USA
Leica DMRBE,1810,Used,USA
BECKMAN COULTER 152 Laboratory Сentrifuge,7000,New,USA
SIEMENS BN ProSpec Biochemical Analyzer,20000,Used,USA
BIOMERIEUX Vidas 30 Blue line Vidas,3840,New,Netherlands
SpectroLab M8 Optical Emission Spectrometer SPARK METAL ANALYZER OES ARC,12000,Used,Netherlands
MICROM HM355 S Microtome,30,New,France
Advia 120 Bayer Cytometry Hematology System + Software,724,Used,France
NEW Bio-RAD Universal Electrophoresis Gauge Measurement,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,36,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,250,Used,USA
Qty 50 96 Well Microtiter Microplates V Bottom 280uL 14 245 72,18000,Refurbished,USA
Bausch & Lomb 1.5X Bottom Objective for Stereo Zoom 7 Microscopes,357,Refurbished,USA
Used Applied Biosystems MagMax Express 96 Clinical Laboratory - Other,2400,Refurbished,USA
QImaging QCapture Pro 7 Software for Windows,1950,Used,USA
OLYMPUS U-DICTHR NOMARSKI / DIC SLIDER FOR THE BX SERIES MICROSCOPES. HIGH RESOLUTION,421,For Parts,USA
Used Innovartis Cedex Cell Counters,300,Used,Netherlands
"Leica 1.0x Achromat Objective, M60 Thread Model # 10450159",68,Used,Netherlands
Dynex Ultrawash Plus (800-0412),80,New,France
Used Hoffman Engineering Model: SRS-2 Spectral Reflectance Standard Oultlet / Base,724,Used,France
Used 10642 TOROID ISB-060M MEDICAL ISOLATION TRANSFORMER,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Refurbished,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,For Parts,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,4500,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,11999,Used,USA
Used Domino DSL DSL1 Plus Laser Slide Marking System Engraver Shandon Lamb,895,Refurbished,USA
"Used Tokyo Boeki Biolis 24i Benchtop Chemistry Analyzer , Software Version 4.07",40,Used,USA
Used SEBRA INTEGRA 1065 TUBE SEALER - FULLY RECONDITIONED,15000,Used,USA
ALPHA INNOTECH CORPORATION MULTIIMAGE LIGHT CABINET,320,Used,USA
Used Biokit Bio-Flash 3710-0344 Benchtop Immunoassay System (203-2191),100,Used,USA
BROOKFIELD MODEL KU-1 VISCOMETER,75,New,Netherlands
Used Thermo Orion pH Meter 150,716,Used,Netherlands
Used Beckman Coulter PHi 510 (301-8400),16000,New,France
Used BECKMAN COULTER DU 640 SPECTROPHOTOMETER,724,Used,France
Used BRUKER S1 Titan SDD X-RAY SPECTROMETER XRF ***FINANCING***WARRANTY***,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,New,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,38000,New,Spain
HORIBA Pentra DF Nexus Hematology Analyzer,150,New,
"Refurbished Agilent 1260 HPLC System with DAD, 12-Month Warranty",19,Used Good,Belgium
R159943 CTC Analytics Leap PAL Autosampler Fast Wash Station MM 019-01B,1999,,France
Omnifit Fittings Kit for 6.6 to 50.5mm Chromatography Columns KTA089,8700,Used Very Good,USA
Used Shimadzu SSM-5000A Solid Sample Module (203-3938),450,Used,USA
Refurbished Agilent 6890 Plus GC with FPD and 7683 AS,6300,Used,USA
"Mettler Toledo, IND429 Stainless Steel Scale Indicator Readout",1000,Used,USA
SOLD: Mettler-Toledo MX5 Microbalance 5.100000g,45,New,Netherlands
Mettler Toledo SB 8001 Precision Balance,490,Used,Netherlands
Brand New Xtralis VBC-001 Battery Expansion Cabinet,724,New,France
Agilent G1103-60006 1VS Peristaltic Pump,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1500,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1999,Used,Ukraine
Used Milton Roy MilRoyal B High Pressure Diaphragm Metering Pump: Model No. MBH091X0018 Pumps (Metering),371,New,Ukraine
Thermo Fisher Scientific Savant RVT4104 Refrigerated Vapor Trap (203-5040),1750,New,USA
Fisher Scientific 525D Isotemp Incubator Oven 11-690-525D,19995,Used,USA
Lab Products Portable Stay-Clean Cabinet Work Bench LF/B 30910DEL,1500,New,USA
Agilent Technologies BenchCel 4R Automated Stacker 18692-204,3250,Used,USA
T162150 Varian TV301 NAV Turbo Vacuum Pump w/ Turbo-V 301 SQ339 Control Unit,29500,Used,USA
OLYMPUS MODEL CUT 4055E MOTORIZED MICROTOME - FULLY RECONDITIONED,1995,Used,Netherlands
Dimension EXL Integrated Chemistry System,4875,Used,Netherlands
Siemens Chemistry Analyzer 1265,724,New,France
"DIGITAL INSTRUMENTS VEECO MMAFM-2, MMAFM-631, MMSTMC-150 ATOMIC MICROSCOPE LOT",1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,141,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,9135,Used,USA
Omano Stereo Microscope Binocular 4413 Dual Power Lighted Set up,1000,For Parts,USA
ABBOTT LABS Architect i1000 SR Immunoassay Analyzer,1100,Used,USA
SCANDITRONIX CU500e Lab Dosimeter,150,For Parts,USA
ABBOTT I-Stat Hematology Analyzer,372500,Used,USA
Hardigg Cases Pelican Hard Case Dewar Shipping Container (800-2680),1655,Used,USA
Histology Lab Startup - Advanced Package,1211,Used,USA
Olympus LMPlanFl 20x/0.40na BD Objective,629,Used,Netherlands
Olympus ULWD MSPLAN 20x Objective,727,Used,Netherlands
Olympus CX-DMG-2; FL-Cube Superwide Band Green for CH/CX/CK,724,New,France
"Leica 1.25x Achromat Objective, M60 Thread Model # 10450162",1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,695,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,3500,New,USA
OLYMPUS U-DCD DRY DARKFIELD CONDENSER FOR BX & BH SERIES MICROSCOPES,2150,For Parts,USA
OLYMPUS PLANAPO N 60X 1.42 NA OIL IMMERSION OBJECTIVE FOR THE BX & IX SERIES MICROSCOPES,250,Refurbished,USA
"Nikon P-TL Tri Trinocular Head for SMZ800, SMZ800N and SMZ1270 Model # MMB52210",1591,Used,USA
NIKON CFWN 10X EYEPIECES,2425,Used,USA
Leica Camera Port HD F for MZ and M Series Stereos 10450301,2450,Refurbished,USA
"Leica Plan APO 1.0x, M Series, Objective",5000,New,USA
Tecan Hydroflex Microplate Washer Cell Wash Vacuum Filtration w WARRANTY,4500,Used,Netherlands
Used Tecan Ultra Evolution Microplate Reader,115,Used,Netherlands
Used BMG LABTECH GMBH FLUOSTAR OPTIMA MULTIMODE MICROPLATE READER,724,New,France
Used Thermo Shandon Para Trimmer B3120205 Paraffin Wax Trimmer,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,425,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1000,Used,USA
Used 10965 AMETEK APC030 CINDG JOFRA APC COMPACT SERIES PRESSURE CALIBRATOR,70,Used,USA
Used Circon Cabot 3000 Zoom Colposcope,70,Used,USA
Used RESTEK 10910 RTX 502.2 PHASE 60M X 0.53 mm I.D. X 3 m GC Capillary Column,60,For Parts,USA
Pack 50 MACS SmartStrainers (70 m) # 130-098-462,500,Used,USA
Hamamatsu Photocathode Tube R645 420nm Multialkali Na-K-Sb-Cs,60,Used,USA
Sedigraph 5120 parts,300,Used,USA
KODAK VITROS CHEMISTY SYSTEMS DT60 II (HC),320,Used,Netherlands
R162554 Philips M8058-66504 Monitor Main Board 0730SC109 M8058-66404,76,Used,Netherlands
SCS INSRUMENTS IONOGRAPH 500M LP SPECIALTY COATING SYSTEM TESTER (#1742),724,New,France
Used ALPHA INNOTECH MODEL 8710-8-001 GEL HOOD IMAGING SYSTEM CAMERA DARKROOM BIOIMAGI,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,100,Used,Canada
HORIBA Pentra DF Nexus Hematology Analyzer,850,Used,USA
R163043 Spectroline XX-15G UV Short Wave Ultraviolet 254 nm Light,250,Used,USA
Power Supply Beckman DXC 600-800 PN: 970689,1095,Used,USA
G152376 Radiation Power Systems HA-10C2 UV Arc Lamp Power Supply,750,Refurbished,USA
Radiometer Copenhagen Potentiometric Titration Workstation TitraLab 90,34000,Used,USA
Used 10535 THERMO HAAKE RHEOSTRESS RHEOMETER TC501 CONTROLLER,83864,Used,USA
Refurbished Siemens / Bruker D5000 X-ray Powder Diffraction (XRD) System,9910,New,Ukraine
MCR 702 TwinDrive (Demo Unit),15,New,Netherlands
Anton Paar Abbemat 300 Refractometers,3577,Used,Netherlands
Used Orion 420A (800-0453),724,New,France
Clamping Cell SurPASS (Demo Unit),1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,Ukraine
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,Ukraine
HORIBA ABX Pentra DX Nexus Hematology Analyzer,35000,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,2000,New,USA
NEW EDX 3300 XRF X-Ray Spectrometer ***Financing*Warranty*** ROHS-Mining-Sulfur,300,New,USA
G140752 Shimadzu GC-17A & GCMS-QP5000 Gas Chromatograph Mass Spectrometer,75,New,USA
H138083 Shimadzu UV-160U UV-Visible Recording Spectrophotometer w/ CPS-240A,24500,New,USA
G158495 Particle Measuring Systems IsoAir Plus Aerosol Sensor 510,45000,Used,USA
Used Varian Saturn 2000 Mass Spectrometer,1500,Used,USA
Refurbished Varian 450GC/300MS/8400 autosampler Mass Spectrometer,256,Used,USA
Used Narishige IM-300 Microinjector HPLC Pumps,2995,Used,Netherlands
Used LEYBOLD-HERAEUS 450 HPLC Pumps,5200,Used,Netherlands
Used GE P-900 AKTA HPLC Pumps,724,New,France
Refurbished Agilent Technologies G1361A HPLC Pumps,1086,Used,France
